,Brand,Model,Varient,Manufacture Year,Driven Kilometers,Fuel,Number of Owner,Body Type,Location,Price
3996,Hyundai,i10,MAGNA 1.2,2008,"1,19,960km",Petrol,Second Owner,Hatchback,Mumbai,191899.0
3997,Maruti,Wagon,R 1.0 LXI CNG,2015,"79,847km",Petrol + CNG,First Owner,Hatchback,Mumbai,342999.0
3998,Maruti,Swift,VDI,2011,"91,145km",Diesel,First Owner,Hatchback,Mumbai,357999.0
3999,Maruti,Ritz,VDI,2012,"1,04,517km",Diesel,First Owner,Hatchback,Mumbai,299099.0
4000,Maruti,Wagon,R 1.0 VXI,2015,"70,814km",Petrol,First Owner,Hatchback,Mumbai,346299.0
4001,Volkswagen,Polo,HIGHLINE1.2L PETROL,2015,"84,079km",Petrol,First Owner,Hatchback,Mumbai,452699.0
4002,Hyundai,i20,MAGNA 1.4 CRDI,2012,"93,076km",Diesel,First Owner,Hatchback,Mumbai,342299.0
4003,Maruti,Wagon,R 1.0 LXI CNG,2011,"98,542km",Petrol + CNG,First Owner,Hatchback,Mumbai,242599.0
4004,Hyundai,Eon,ERA PLUS,2014,"87,051km",Petrol,Second Owner,Hatchback,Mumbai,227399.0
4005,Maruti,Wagon,R 1.0 VXI,2014,"91,564km",Petrol,First Owner,Hatchback,Mumbai,288699.0
4006,Maruti,Swift,VDI,2014,"78,579km",Diesel,First Owner,Hatchback,Mumbai,523199.0
4007,Honda,Jazz,1.2 SELECT I VTEC,2011,"1,20,872km",Petrol,First Owner,Hatchback,Mumbai,282699.0
4008,Ford,Figo,1.4 TITANIUM DURATORQ,2011,"1,21,729km",Diesel,First Owner,Hatchback,Mumbai,251599.0
4009,Chevrolet,Beat,LT DIESEL,2012,"1,85,927km",Diesel,First Owner,Hatchback,Mumbai,151099.0
4010,Maruti,Wagon,R 1.0 LXI,2015,"1,02,809km",Petrol,First Owner,Hatchback,Mumbai,304399.0
4011,Maruti,Swift,VDI ABS,2015,"98,926km",Diesel,First Owner,Hatchback,Mumbai,459999.0
4012,Maruti,Wagon,R 1.0 VXI,2010,"1,09,899km",Petrol,First Owner,Hatchback,Mumbai,231699.0
4013,Honda,Brio,1.2 VX AT I VTEC,2014,"75,162km",Petrol,First Owner,Hatchback,Mumbai,463799.0
4014,Maruti,Wagon,R 1.0 LXI,2011,"1,17,927km",Petrol,First Owner,Hatchback,Mumbai,225399.0
4015,Toyota,Glanza,V CVT,2019,"41,170km",Petrol,First Owner,Hatchback,Mumbai,777499.0
4016,Hyundai,i20,ASTA 1.2,2009,"1,16,752km",Petrol,First Owner,Hatchback,Mumbai,255799.0
4017,Maruti,Swift,VDI,2011,"1,81,733km",Diesel,First Owner,Hatchback,Mumbai,352999.0
4018,Maruti,Swift,VDI,2009,"1,63,408km",Diesel,First Owner,Hatchback,Mumbai,254199.0
4019,Maruti,Ritz,VDI,2009,"1,34,192km",Diesel,Second Owner,Hatchback,Mumbai,212399.0
4020,Maruti,Swift,VDI,2010,"1,38,352km",Diesel,First Owner,Hatchback,Mumbai,292599.0
4021,Maruti,Swift,VDI ABS,2015,"1,07,384km",Diesel,First Owner,Hatchback,Mumbai,541999.0
4022,Hyundai,i10,MAGNA 1.2,2010,"1,05,844km",Petrol,Second Owner,Hatchback,Mumbai,217899.0
4023,Maruti,Baleno,ALPHA DDIS 190,2016,"92,601km",Diesel,First Owner,Hatchback,Mumbai,586999.0
4024,Hyundai,Grand,i10 ASTA 1.2 AT VTVT,2015,"1,14,840km",Petrol,First Owner,Hatchback,Mumbai,420499.0
4025,Volkswagen,Polo,COMFORTLINE 1.2L PETROL,2012,"1,40,417km",Petrol,First Owner,Hatchback,Mumbai,302899.0
4026,Maruti,Celerio,VXI CNG,2015,"1,22,289km",Petrol + CNG,Second Owner,Hatchback,Mumbai,346199.0
4027,Maruti,Ritz,LDI,2011,"1,43,702km",Diesel,Second Owner,Hatchback,Mumbai,210699.0
4028,Ford,Figo,1.4 TITANIUM DURATORQ,2011,"1,63,480km",Diesel,Second Owner,Hatchback,Mumbai,240199.0
4029,Maruti,Swift,ZDI,2014,"1,20,062km",Diesel,First Owner,Hatchback,Mumbai,468099.0
4030,Maruti,Swift,VDI,2012,"1,25,428km",Diesel,Second Owner,Hatchback,Mumbai,342699.0
4031,Maruti,Celerio,VXI,2014,"1,01,361km",Petrol,Second Owner,Hatchback,Mumbai,345999.0
4032,Maruti,Swift,ZDI,2014,"1,33,435km",Diesel,Third Owner,Hatchback,Mumbai,470899.0
4033,Maruti,Alto,800 LXI,2014,"1,14,574km",Petrol,Second Owner,Hatchback,Mumbai,270999.0
4034,Maruti,Swift,ZDI,2017,"1,42,321km",Diesel,First Owner,Hatchback,Mumbai,607499.0
4035,Maruti,Baleno,DELTA DDIS 190,2016,"1,62,864km",Diesel,First Owner,Hatchback,Mumbai,507399.0
4036,Renault,Kwid,RXT,2016,"21,129km",Petrol,First Owner,Hatchback,Mumbai,268099.0
4037,Datsun,Redi,Go T (O),2017,"10,342km",Petrol,First Owner,Hatchback,Mumbai,227599.0
4038,Maruti,Alto,K10 VXI,2017,"14,282km",Petrol,First Owner,Hatchback,Mumbai,322399.0
4039,Maruti,Alto,800 LXI,2016,"33,699km",Petrol,First Owner,Hatchback,Mumbai,282499.0
4040,Maruti,Celerio,VXI AMT,2014,"19,510km",Petrol,Second Owner,Hatchback,Mumbai,341999.0
4041,Maruti,Wagon,R 1.0 VXI AMT,2018,"27,893km",Petrol,First Owner,Hatchback,Mumbai,458199.0
4042,Maruti,Baleno,ZETA 1.2 K12,2017,"26,992km",Petrol,First Owner,Hatchback,Mumbai,579799.0
4043,Hyundai,i10,SPORTZ 1.2 AT KAPPA2,2013,"54,510km",Petrol,Second Owner,Hatchback,Mumbai,331299.0
4044,Volkswagen,Polo,HIGHLINE1.2L PETROL,2015,"44,708km",Petrol,First Owner,Hatchback,Mumbai,489999.0
4045,Maruti,Alto,800 LXI,2015,"22,447km",Petrol,First Owner,Hatchback,Mumbai,313999.0
4046,Maruti,Alto,800 VXI,2017,"33,832km",Petrol,First Owner,Hatchback,Mumbai,340499.0
4047,Hyundai,Grand,i10 SPORTZ (O) 1.2 AT VTVT,2017,"31,378km",Petrol,First Owner,Hatchback,Mumbai,537499.0
4048,Maruti,Baleno,ZETA 1.2 K12,2019,"14,664km",Petrol,First Owner,Hatchback,Mumbai,686899.0
4049,Maruti,Wagon,R 1.0 LXI,2015,"25,054km",Petrol,First Owner,Hatchback,Mumbai,392699.0
4050,Maruti,Baleno,DELTA 1.2 K12,2018,"19,333km",Petrol,First Owner,Hatchback,Mumbai,591699.0
4051,Hyundai,Grand,i10 SPORTZ 1.2 KAPPA VTVT,2016,"57,758km",Petrol,First Owner,Hatchback,Mumbai,434899.0
4052,Maruti,Baleno,ALPHA 1.2 K12 AMT,2018,"28,264km",Petrol,First Owner,Hatchback,Mumbai,749854.0
4053,Volkswagen,Polo,GT TSI,2019,"35,452km",Petrol,First Owner,Hatchback,Mumbai,815699.0
4054,Maruti,Wagon,R 1.0 VXI,2013,"15,534km",Petrol,First Owner,Hatchback,Mumbai,252799.0
4055,Ford,Figo,1.2 ZXI DURATEC,2011,"19,545km",Petrol,First Owner,Hatchback,Mumbai,180099.0
4056,Renault,Kwid,RXT 1.0 EASY-R AT OPTION,2018,"3,517km",Petrol,First Owner,Hatchback,Mumbai,400899.0
4057,Maruti,Alto,800 LXI,2014,"31,889km",Petrol,First Owner,Hatchback,Mumbai,204499.0
4058,Maruti,Baleno,DELTA 1.2 K12,2016,"8,435km",Petrol,First Owner,Hatchback,Mumbai,589899.0
4059,Honda,Jazz,1.2 S MT,2016,"18,091km",Petrol,First Owner,Hatchback,Mumbai,494099.0
4060,Maruti,Alto,800 VXI,2014,"22,538km",Petrol,First Owner,Hatchback,Mumbai,235199.0
4061,Maruti,Celerio,VXI,2017,"7,536km",Petrol,First Owner,Hatchback,Mumbai,462499.0
4062,Hyundai,i10,ERA 1.1 IRDE,2012,"43,211km",Petrol,Second Owner,Hatchback,Mumbai,246499.0
4063,Maruti,Wagon,R 1.0 VXI,2011,"48,546km",Petrol,Second Owner,Hatchback,Mumbai,217599.0
4064,Hyundai,Santro,Xing GLS,2009,"25,374km",Petrol,First Owner,Hatchback,Mumbai,155199.0
4065,Maruti,Alto,K10 VXI,2017,"12,838km",Petrol,First Owner,Hatchback,Mumbai,335699.0
4066,Maruti,Swift,VXI,2014,"43,680km",Petrol,Second Owner,Hatchback,Mumbai,365799.0
4067,Volkswagen,Polo,GT TSI 1.2 PETROL AT,2014,"34,600km",Petrol,First Owner,Hatchback,Mumbai,512299.0
4068,Maruti,Zen,Estilo LXI,2010,"33,011km",Petrol,First Owner,Hatchback,Mumbai,167599.0
4069,Maruti,Ritz,ZXI,2010,"35,736km",Petrol + CNG,Third Owner,Hatchback,Mumbai,217699.0
4070,Toyota,Etios,Liva G,2011,"18,893km",Petrol,First Owner,Hatchback,Mumbai,251099.0
4071,Maruti,Alto,K10 VXI,2016,"17,570km",Petrol,First Owner,Hatchback,Mumbai,294099.0
4072,Hyundai,Santro,Xing GLS,2008,"29,650km",Petrol,Second Owner,Hatchback,Mumbai,146499.0
4073,Hyundai,Elite,i20 SPORTZ 1.2,2015,"40,536km",Petrol,Second Owner,Hatchback,Mumbai,488499.0
4074,Volkswagen,Polo,TRENDLINE 1.2L PETROL,2011,"54,295km",Petrol,Second Owner,Hatchback,Mumbai,234199.0
4075,Hyundai,Grand,i10 MAGNA 1.2 KAPPA VTVT,2016,"21,840km",Petrol,Second Owner,Hatchback,Mumbai,411699.0
4076,Maruti,Baleno,SIGMA 1.2 K12,2020,"22,374km",Petrol,First Owner,Hatchback,Mumbai,604599.0
4077,Maruti,Celerio,VXI AMT,2014,"48,088km",Petrol,First Owner,Hatchback,Mumbai,390399.0
4078,Honda,Jazz,1.2 V AT,2015,"44,726km",Petrol,First Owner,Hatchback,Mumbai,540499.0
4079,Maruti,Alto,800 LXI,2014,"3,447km",Petrol,First Owner,Hatchback,Mumbai,228899.0
4080,Maruti,Alto,LXI,2009,"39,622km",Petrol,First Owner,Hatchback,Mumbai,155299.0
4081,Maruti,Alto,LXI,2009,"16,639km",Petrol,First Owner,Hatchback,Mumbai,129399.0
4082,Renault,Kwid,RXL,2020,"5,067km",Petrol,First Owner,Hatchback,Mumbai,381399.0
4083,Maruti,Baleno,ZETA 1.2 K12,2019,"30,793km",Petrol,First Owner,Hatchback,Mumbai,664299.0
4084,Maruti,Swift,VXI,2015,"66,740km",Petrol,First Owner,Hatchback,Mumbai,393899.0
4085,Hyundai,i20,ASTA 1.2,2014,"23,576km",Petrol,First Owner,Hatchback,Mumbai,424799.0
4086,Volkswagen,Polo,GT TSI 1.2 PETROL AT,2015,"54,130km",Petrol,Second Owner,Hatchback,Mumbai,555699.0
4087,Hyundai,Elite,i20 SPORTZ (O) 1.2,2014,"23,661km",Petrol,First Owner,Hatchback,Mumbai,481999.0
4088,Maruti,Alto,LXI,2010,"64,268km",Petrol,Second Owner,Hatchback,Mumbai,138399.0
4089,Maruti,Alto,K10 VXI (O) AMT,2018,"13,563km",Petrol,First Owner,Hatchback,Mumbai,359299.0
4090,Honda,Brio,1.2 S MT I VTEC,2013,"52,024km",Petrol,Second Owner,Hatchback,Mumbai,294599.0
4091,Maruti,Ritz,VDI,2010,"82,265km",Diesel,First Owner,Hatchback,Mumbai,226999.0
4092,Volkswagen,Polo,GT TSI 1.2 PETROL AT,2015,"31,433km",Petrol,First Owner,Hatchback,Mumbai,528099.0
4093,Maruti,Swift,VDI,2008,"72,604km",Diesel,First Owner,Hatchback,Mumbai,222999.0
4094,Maruti,Celerio,VXI CNG,2019,"36,578km",Petrol + CNG,First Owner,Hatchback,Mumbai,510399.0
4095,Maruti,Alto,800 LXI CNG,2016,"65,486km",Petrol + CNG,First Owner,Hatchback,Mumbai,292799.0
4096,Maruti,IGNIS,ZETA 1.2 K12 AMT,2017,"31,152km",Petrol,First Owner,Hatchback,Mumbai,516499.0
4097,Hyundai,Elite,i20 SPORTZ 1.2,2015,"51,187km",Petrol,Third Owner,Hatchback,Mumbai,411899.0
4098,Honda,Brio,1.2 S MT I VTEC,2015,"62,946km",Petrol,First Owner,Hatchback,Mumbai,314799.0
4099,Hyundai,Elite,i20 ASTA 1.2,2016,"73,002km",Petrol + CNG,First Owner,Hatchback,Mumbai,510399.0
4100,Maruti,Wagon,R 1.0 VXI,2014,"69,438km",Petrol,First Owner,Hatchback,Mumbai,311199.0
4101,Hyundai,i20,MAGNA O 1.4 CRDI,2012,"81,392km",Diesel,Third Owner,Hatchback,Mumbai,292899.0
4102,Maruti,Wagon,R 1.0 LXI CNG,2012,"82,862km",Petrol + CNG,First Owner,Hatchback,Mumbai,290999.0
4103,Renault,Kwid,1.0 RXT,2016,"62,730km",Petrol,First Owner,Hatchback,Mumbai,288999.0
4104,Maruti,Baleno,ZETA 1.2 K12 AMT,2016,"61,536km",Petrol,First Owner,Hatchback,Mumbai,522799.0
4105,Hyundai,Elite,i20 1.4 CRDI ASTA (O),2016,"56,827km",Diesel,First Owner,Hatchback,Mumbai,628199.0
4106,Hyundai,Grand,i10 ASTA AT 1.2 KAPPA VTVT,2016,"29,440km",Petrol,First Owner,Hatchback,Mumbai,525899.0
4107,Maruti,Alto,LXI,2007,"62,350km",Petrol,Second Owner,Hatchback,Mumbai,104499.0
4108,Ford,Figo,1.4 ZXI DURATORQ,2011,"1,05,505km",Diesel,First Owner,Hatchback,Mumbai,212999.0
4109,Renault,Kwid,RXT,2016,"1,07,578km",Petrol,First Owner,Hatchback,Mumbai,243899.0
4110,Tata,Indica,Vista AURA ABS QUADRAJET BS IV,2011,"1,12,884km",Diesel,Second Owner,Hatchback,Mumbai,162099.0
4111,Volkswagen,Polo,HIGHLINE1.2L PETROL,2011,"1,00,982km",Petrol,First Owner,Hatchback,Mumbai,295599.0
4112,Maruti,Swift,ZDI,2012,"98,558km",Diesel,First Owner,Hatchback,Mumbai,393599.0
4113,Hyundai,i20,MAGNA 1.2 VTVT,2009,"1,01,034km",Petrol,First Owner,Hatchback,Mumbai,222299.0
4114,Maruti,Swift,ZDI AMT,2018,"50,418km",Diesel,First Owner,Hatchback,Mumbai,669899.0
4115,Maruti,Swift,LXI,2010,"1,16,872km",Petrol,Second Owner,Hatchback,Mumbai,262099.0
4116,Maruti,Alto,800 LXI CNG,2016,"99,124km",Petrol + CNG,Second Owner,Hatchback,Mumbai,261899.0
4117,Maruti,Swift,VXI,2012,"95,783km",Petrol,First Owner,Hatchback,Mumbai,359199.0
4118,Maruti,Ritz,VDI,2012,"1,09,285km",Diesel,First Owner,Hatchback,Mumbai,310299.0
4119,Maruti,Wagon,R 1.0 LXI,2010,"2,10,074km",Petrol,First Owner,Hatchback,Mumbai,182399.0
4120,Maruti,Wagon,R 1.0 LXI CNG,2014,"99,788km",Petrol + CNG,First Owner,Hatchback,Mumbai,323499.0
4121,Maruti,Swift,VDI,2009,"1,23,493km",Diesel,Second Owner,Hatchback,Mumbai,208299.0
4122,Volkswagen,Polo,COMFORTLINE 1.5L DIESEL,2015,"1,33,949km",Diesel,First Owner,Hatchback,Mumbai,382499.0
4123,Hyundai,i20,SPORTZ 1.2 VTVT,2012,"1,05,532km",Petrol,Second Owner,Hatchback,Mumbai,294599.0
4124,Maruti,Swift,VDI ABS,2014,"1,45,027km",Diesel,First Owner,Hatchback,Mumbai,442599.0
4125,Maruti,Celerio,VXI AMT,2015,"8,792km",Petrol,First Owner,Hatchback,Mumbai,392599.0
4126,Hyundai,i10,SPORTZ 1.2 KAPPA2,2011,"40,843km",Petrol,First Owner,Hatchback,Mumbai,183799.0
4127,Volkswagen,Polo,TRENDLINE 1.2L PETROL,2010,"41,363km",Petrol,Second Owner,Hatchback,Mumbai,220199.0
4128,Honda,Brio,1.2 S (O) MT IVTEC,2012,"65,864km",Petrol,First Owner,Hatchback,Mumbai,245099.0
4129,Maruti,Alto,800 LXI CNG,2014,"64,504km",Petrol + CNG,First Owner,Hatchback,Mumbai,250599.0
4130,Maruti,Swift,VXI,2013,"62,532km",Petrol,First Owner,Hatchback,Mumbai,382199.0
4131,Honda,Jazz,1.2 V MT,2015,"75,377km",Petrol,First Owner,Hatchback,Mumbai,395799.0
4132,Maruti,Wagon,R 1.0 VXI,2013,"39,011km",Petrol,First Owner,Hatchback,Mumbai,284399.0
4133,Ford,Figo,1.2 ZXI DURATEC,2014,"35,703km",Petrol,Third Owner,Hatchback,Mumbai,207399.0
4134,Hyundai,i10,MAGNA 1.2 KAPPA2,2011,"41,577km",Petrol,First Owner,Hatchback,Mumbai,253199.0
4135,Hyundai,Santro,Xing GLS,2012,"43,847km",Petrol,Third Owner,Hatchback,Mumbai,198099.0
4136,Maruti,Celerio,VXI AMT,2015,"18,492km",Petrol,Second Owner,Hatchback,Mumbai,360399.0
4137,Maruti,Wagon,R 1.0 VXI,2014,"49,738km",Petrol,Second Owner,Hatchback,Mumbai,293499.0
4138,Renault,Kwid,RXT,2016,"64,939km",Petrol,Second Owner,Hatchback,Mumbai,271699.0
4139,Volkswagen,Polo,GT TSI 1.2 PETROL AT,2017,"26,305km",Petrol,First Owner,Hatchback,Mumbai,753699.0
4140,Hyundai,i20,Active 1.2 S,2016,"41,282km",Petrol,First Owner,Hatchback,Mumbai,507299.0
4141,Maruti,Celerio,VXI AMT,2017,"89,173km",Petrol,First Owner,Hatchback,Mumbai,371399.0
4142,Maruti,Swift,VXI,2014,"1,13,481km",Petrol,First Owner,Hatchback,Mumbai,361799.0
4143,Toyota,Etios,Liva VD LIMITED EDITION,2016,"1,11,428km",Diesel,First Owner,Hatchback,Mumbai,426099.0
4144,Datsun,Go,Plus T,2017,"22,195km",Petrol,First Owner,Hatchback,Mumbai,329199.0
4145,Maruti,Wagon,R 1.0 LXI CNG,2014,"1,50,431km",Petrol + CNG,First Owner,Hatchback,Mumbai,270799.0
4146,Maruti,Wagon,R 1.0 VXI,2013,"55,753km",Petrol,First Owner,Hatchback,Mumbai,269999.0
4147,Hyundai,Grand,i10 ASTA 1.1 CRDI,2014,"77,838km",Diesel,First Owner,Hatchback,Mumbai,356699.0
4148,Nissan,Micra,XV PETROL,2011,"48,380km",Petrol,Second Owner,Hatchback,Mumbai,187899.0
4149,Maruti,Wagon,R 1.0 LXI CNG,2016,"57,370km",Petrol + CNG,First Owner,Hatchback,Mumbai,347799.0
4150,Maruti,Swift,Dzire VXI 1.2 BS IV,2015,"23,070km",Petrol,Second Owner,Sedan,Mumbai,471699.0
4151,Maruti,Swift,Dzire VXI 1.2 BS IV,2014,"35,527km",Petrol,First Owner,Sedan,Mumbai,480999.0
4152,Volkswagen,Vento,HIGHLINE 1.2 TSI AT,2015,"23,591km",Petrol,First Owner,Sedan,Mumbai,524199.0
4153,Toyota,Etios,V,2013,"24,978km",Petrol,First Owner,Sedan,Mumbai,385099.0
4154,Hyundai,Xcent,S 1.2 OPT,2014,"27,075km",Petrol,First Owner,Sedan,Mumbai,441799.0
4155,Hyundai,Xcent,S 1.2 OPT,2014,"35,850km",Petrol,First Owner,Sedan,Mumbai,393299.0
4156,Maruti,Swift,Dzire VDI BS IV,2012,"50,082km",Diesel,First Owner,Sedan,Mumbai,423999.0
4157,Honda,City,V MT PETROL,2015,"36,826km",Petrol,Second Owner,Sedan,Mumbai,528099.0
4158,Honda,Amaze,1.2 SMT I VTEC,2013,"47,239km",Petrol,Second Owner,Sedan,Mumbai,385199.0
4159,Maruti,Ciaz,VXI PLUS,2016,"30,032km",Petrol,First Owner,Sedan,Mumbai,625199.0
4160,Maruti,Swift,Dzire VXI 1.2 BS IV,2013,"39,703km",Petrol,Second Owner,Sedan,Mumbai,392599.0
4161,Honda,City,1.5 E MT PETROL,2012,"57,136km",Petrol,First Owner,Sedan,Mumbai,368699.0
4162,Maruti,Swift,Dzire VDI BS IV,2012,"53,886km",Diesel,First Owner,Sedan,Mumbai,453399.0
4163,Maruti,Swift,Dzire VXI 1.2 BS IV,2016,"26,583km",Petrol,First Owner,Sedan,Mumbai,560663.0
4164,Maruti,Dzire,VXI,2019,"9,726km",Petrol,First Owner,Sedan,Mumbai,672299.0
4165,Maruti,Swift,Dzire VXI 1.2 BS IV,2015,"17,438km",Petrol,First Owner,Sedan,Mumbai,477299.0
4166,Hyundai,AURA,SX O MT 1.2 Diesel,2020,"2,963km",Diesel,First Owner,Sedan,Mumbai,840799.0
4167,Maruti,Swift,Dzire LDI BS IV,2013,"53,065km",Diesel,First Owner,Sedan,Mumbai,384699.0
4168,Honda,Amaze,1.2 SMT I VTEC,2019,"17,943km",Petrol,First Owner,Sedan,Mumbai,646399.0
4169,Honda,Amaze,1.5 EXMT I DTEC,2013,"57,650km",Diesel,Second Owner,Sedan,Mumbai,377499.0
4170,Ford,Figo,Aspire 1.5 TREND DIESEL,2015,"59,038km",Diesel,First Owner,Sedan,Mumbai,466099.0
4171,Maruti,Swift,Dzire VXI 1.2 BS IV,2015,"52,532km",Petrol,First Owner,Sedan,Mumbai,483599.0
4172,Maruti,Swift,Dzire ZDI,2012,"64,886km",Diesel,First Owner,Sedan,Mumbai,424799.0
4173,Ford,Figo,Aspire 1.2 Trend+ Petrol,2018,"8,051km",Petrol,First Owner,Sedan,Mumbai,586499.0
4174,Maruti,Dzire,VXI,2018,"21,655km",Petrol,First Owner,Sedan,Mumbai,620399.0
4175,Hyundai,Xcent,S 1.2,2014,"60,250km",Petrol,Second Owner,Sedan,Mumbai,348199.0
4176,Honda,Amaze,1.2 SMT I VTEC,2014,"56,311km",Petrol,Second Owner,Sedan,Mumbai,385799.0
4177,Maruti,Swift,Dzire VDI,2013,"59,961km",Diesel,First Owner,Sedan,Mumbai,433799.0
4178,Maruti,Swift,Dzire VXI 1.2 BS IV,2014,"56,002km",Petrol,First Owner,Sedan,Mumbai,450999.0
4179,Maruti,Dzire,VXI,2018,"27,831km",Petrol,First Owner,Sedan,Mumbai,636899.0
4180,Honda,Amaze,1.2 SMT I VTEC,2013,"87,083km",Petrol,First Owner,Sedan,Mumbai,335799.0
4181,Volkswagen,Vento,HIGHLINE PETROL AT,2011,"82,508km",Petrol,Third Owner,Sedan,Mumbai,277699.0
4182,Maruti,Dzire,ZXI,2017,"13,460km",Petrol,First Owner,Sedan,Mumbai,636299.0
4183,Maruti,Ciaz,ZETA 1.4 VVT,2018,"30,737km",Petrol,Second Owner,Sedan,Mumbai,684999.0
4184,Volkswagen,Vento,HIGHLINE 1.2 TSI AT,2015,"73,924km",Petrol,Second Owner,Sedan,Mumbai,440299.0
4185,Nissan,Sunny,XV PETROL,2011,"77,019km",Petrol,Second Owner,Sedan,Mumbai,325699.0
4186,Maruti,Dzire,VXI,2018,"3,226km",Petrol,First Owner,Sedan,Mumbai,656899.0
4187,Maruti,Swift,Dzire VDI BS IV,2012,"70,736km",Diesel,First Owner,Sedan,Mumbai,433799.0
4188,Toyota,Etios,G,2011,"99,729km",Petrol,First Owner,Sedan,Mumbai,291499.0
4189,Honda,Amaze,1.2 SMT I VTEC,2013,"70,008km",Petrol,First Owner,Sedan,Mumbai,363699.0
4190,Maruti,Swift,Dzire VDI BS IV,2010,"80,822km",Diesel,Second Owner,Sedan,Mumbai,371099.0
4191,Hyundai,Verna,1.6 SX VTVT AT (O),2018,"13,197km",Petrol,First Owner,Sedan,Mumbai,1121399.0
4192,Maruti,Swift,Dzire VDI BS IV,2012,"81,886km",Diesel,First Owner,Sedan,Mumbai,428799.0
4193,Honda,Civic,ZX CVT PETROL,2019,"19,570km",Petrol,First Owner,Sedan,Mumbai,1760799.0
4194,Maruti,Dzire,VDI,2018,"52,996km",Diesel,First Owner,Sedan,Mumbai,705399.0
4195,Hyundai,Verna,FLUIDIC 1.6 EX VTVT,2012,"1,02,433km",Petrol,First Owner,Sedan,Mumbai,401699.0
4196,Honda,City,S AT,2009,"96,796km",Petrol,Third Owner,Sedan,Mumbai,235199.0
4197,Hyundai,Verna,1.6 SX VTVT AT (O),2018,"19,407km",Petrol,First Owner,Sedan,Mumbai,1136899.0
4198,Volkswagen,Vento,HIGHLINE 1.2 TSI AT,2015,"87,177km",Petrol,Second Owner,Sedan,Mumbai,483799.0
4199,Ford,Figo,Aspire 1.5 TREND DIESEL,2018,"47,965km",Diesel,First Owner,Sedan,Mumbai,540599.0
4200,Maruti,Swift,Dzire VDI BS IV,2014,"87,333km",Diesel,First Owner,Sedan,Mumbai,505999.0
4201,Hyundai,Verna,1.6 SX (O) CRDI MT,2018,"16,063km",Diesel,First Owner,Sedan,Mumbai,934999.0
4202,Honda,City,V MT PETROL,2013,"98,921km",Petrol,Second Owner,Sedan,Mumbai,361199.0
4203,Honda,City,S MT PETROL,2010,"1,10,946km",Petrol,First Owner,Sedan,Mumbai,300099.0
4204,Volkswagen,Vento,HIGHLINE DIESEL,2013,"84,623km",Diesel,First Owner,Sedan,Mumbai,439999.0
4205,Honda,Accord,2.4 MT,2008,"1,08,501km",Petrol,First Owner,Sedan,Mumbai,281499.0
4206,Toyota,Etios,G,2011,"1,07,845km",Petrol,First Owner,Sedan,Mumbai,274299.0
4207,Maruti,Swift,Dzire VXI,2010,"1,06,567km",Petrol,Third Owner,Sedan,Mumbai,221899.0
4208,Maruti,Dzire,VDI,2017,"62,261km",Diesel,First Owner,Sedan,Mumbai,641699.0
4209,Maruti,Swift,Dzire VXI 1.2 BS IV,2014,"88,009km",Petrol,First Owner,Sedan,Mumbai,382399.0
4210,Maruti,Swift,Dzire VDI BS IV,2012,"1,18,249km",Diesel,Third Owner,Sedan,Mumbai,377799.0
4211,Maruti,Swift,Dzire VXI 1.2 BS IV,2014,"72,771km",Petrol,Second Owner,Sedan,Mumbai,390599.0
4212,Maruti,Swift,Dzire VDI BS IV,2012,"1,03,880km",Diesel,First Owner,Sedan,Mumbai,434399.0
4213,Hyundai,Verna,FLUIDIC 1.6 SX VTVT,2014,"88,958km",Petrol,First Owner,Sedan,Mumbai,507799.0
4214,Maruti,Swift,Dzire VDI BS IV,2013,"92,022km",Diesel,First Owner,Sedan,Mumbai,458599.0
4215,Hyundai,Xcent,SX 1.2 OPT,2015,"1,09,568km",Petrol,First Owner,Sedan,Mumbai,386199.0
4216,Nissan,Sunny,XL PETROL,2014,"1,17,953km",Petrol,First Owner,Sedan,Mumbai,314699.0
4217,Hyundai,Xcent,SX 1.1 CRDI,2014,"93,358km",Diesel,Second Owner,Sedan,Mumbai,365799.0
4218,Honda,City,V MT PETROL,2015,"1,22,135km",Petrol,First Owner,Sedan,Mumbai,513999.0
4219,Maruti,Swift,Dzire VDI,2008,"1,66,948km",Diesel,First Owner,Sedan,Mumbai,235399.0
4220,Volkswagen,Vento,HIGHLINE DIESEL,2013,"1,19,721km",Diesel,First Owner,Sedan,Mumbai,432499.0
4221,Honda,City,VX MT PETROL,2015,"1,29,035km",Petrol,First Owner,Sedan,Mumbai,615099.0
4222,Volkswagen,Vento,HIGHLINE DIESEL,2011,"1,46,091km",Diesel,Second Owner,Sedan,Mumbai,287299.0
4223,Maruti,Swift,Dzire VDI BS IV,2014,"1,07,789km",Diesel,First Owner,Sedan,Mumbai,517199.0
4224,Maruti,Swift,Dzire VDI BS IV,2012,"1,33,678km",Diesel,First Owner,Sedan,Mumbai,415599.0
4225,Volkswagen,Jetta,HIGHLINE 2.0 TDI MT,2015,"1,23,125km",Diesel,First Owner,Sedan,Mumbai,645399.0
4226,Maruti,Ciaz,ZXI,2015,"1,01,560km",Petrol,First Owner,Sedan,Mumbai,607099.0
4227,Honda,City,S MT PETROL,2010,"1,72,533km",Petrol,Third Owner,Sedan,Mumbai,260699.0
4228,Honda,City,VX MT DIESEL,2014,"1,06,966km",Diesel,First Owner,Sedan,Mumbai,578999.0
